"id (S)","financialRisk_score (N)","question1 (S)","question10 (S)","question11 (S)","question12 (S)","question13 (S)","question14 (S)","question15 (S)","question16 (S)","question17 (S)","question18 (S)","question19 (S)","question2 (S)","question20 (S)","question21 (S)","question22 (S)","question23 (S)","question24 (S)","question25 (S)","question26 (S)","question27 (S)","question28 (S)","question3 (S)","question4 (S)","question5 (S)","question6 (S)","question7 (S)","question8 (S)","question9 (S)","riskActivity_score (N)"
"2d0c6f8a-fe27-43c4-bfc3-7dca422e2d50","30","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","Nothing","Male","35-44","Married","Graduate or professional degree","$100,000 or greater","Yes","A 50% chance at winning $5,000","Confront him","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Knife","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Very comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A sure gain of $500","15"
"2ec5d448-a2aa-4750-84f8-5f960be39c24","32","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Female","45-54","Married","Bachelors degree","$75,000-$99,999","Yes","A 50% chance at winning $5,000","Speed up","Car","Sprint away as fast as you can","Run","Drag","Outside","Bottle","Plea","Throw","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Not at all comfortable","Thrill","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","14"
"392c0016-7ac6-4802-b68d-e05f47522fac","16","Cautious","A sure loss of $500","A savings account or money market mutual fund","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","Nothing","Female","25-34","Married","Some college/trade/vocational training","$50,000-$74,999","No","$1,000 in cash","Speed up","Car","Slowly walk away (maybe you’ll lose him)","Quiet","Drag","Outside","Bottle","Fight","Throw","Cancel the vacation","Deposit it in a bank account, money market account, or an insured CD","Not at all comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$200 gain best case; $0 gain/loss worst case","A sure gain of $500","14"
"39a476fd-3009-4623-a1a0-0659b21b2e00","20","Willing to take risks after completing adequate research","A sure loss of $500","A savings account or money market mutual fund","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Male","Under 25","Never married","Some college/trade/vocational training","$25,000-$49,999","No","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Bottle","Fight","Swing","Cancel the vacation","Deposit it in a bank account, money market account, or an insured CD","Somewhat comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A sure gain of $500","14"
"3ac8b3fc-5e12-42fa-97e1-17c840d6d9b5","33","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A portfolio of 15 common stocks","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Female","45-54","Married","Bachelors degree","$100,000 or greater","No","A 5% chance at winning $100,000","Confront him","Car","Sprint away as fast as you can","Run","Drag","Outside","Bottle","Plea","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in safe high quality bonds or bond mutual funds","Not at all comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","13"
"3f44278c-d261-4be4-9dd9-931b8649eee6","25","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A portfolio of 15 common stocks","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Female","Under 25","Never married","Some college/trade/vocational training","Less than $25,000","No","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Sneak","Knife","Plea","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in safe high quality bonds or bond mutual funds","Not at all comfortable","Uncertainty","Hold the bonds","$2,600 gain best case; $800 loss worst case","A sure gain of $500","13"
"41e69cf3-23b6-4c29-828d-f70fffb64334","27","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Male","Under 25","Never married","Some high school or less","$100,000 or greater","No","A 50% chance at winning $5,000","Confront him","Car","Sprint away as fast as you can","Run","Drag","Sneak","Bottle","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in safe high quality bonds or bond mutual funds","Somewhat comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A sure gain of $500","13"
"422f0d02-dcf5-4c4d-9a2b-6fea4ec79657","31","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","Nothing","Male","45-54","Married","Some college/trade/vocational training","$50,000-$74,999","Yes","A 50% chance at winning $5,000","Confront him","Car","Slowly walk away (maybe you’ll lose him)","Quiet","Drag","Outside","Bottle","Fight","Throw","Cancel the vacation","Invest it in stocks or stock mutual funds","Somewhat comfortable","Uncertainty","Sell the bonds and put the total proceeds into real estate","$4,800 gain best case; $2,400 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","14"
"42736e4b-52dd-4ae5-bda8-4926f51709c2","25","Cautious","A sure loss of $500","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","45-54","Separated or divorced","Bachelors degree","$75,000-$99,999","Yes","A 25% chance at winning $10,000","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Bottle","Plea","Swing","Cancel the vacation","Invest it in stocks or stock mutual funds","Somewhat comfortable","Loss","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A sure gain of $500","14"
"4a199fd0-3b5d-4f34-891b-f05f43724780","29","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A savings account or money market mutual fund","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","Under 25","Never married","High school graduate","Less than $25,000","Yes","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Run","Drag","Sneak","Bottle","Fight","Throw","Take a much more modest vacation","Deposit it in a bank account, money market account, or an insured CD","Somewhat comfortable","Thrill","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","14"
"4c5319ba-e57d-45a3-81a9-7ac1b906ff7f","33","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A portfolio of 15 common stocks","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","35-44","Married","Some college/trade/vocational training","$100,000 or greater","Yes","A 50% chance at winning $5,000","Confront him","Car","Sprint away as fast as you can","Run","Drag","Outside","Bottle","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Somewhat comfortable","Opportunity","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","15"
"50d5bbd2-b3a8-4931-beb0-ad1af3feac2f","33","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A portfolio of 15 common stocks","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Female","45-54","Married","Bachelors degree","$100,000 or greater","No","A 5% chance at winning $100,000","Confront him","Car","Sprint away as fast as you can","Run","Drag","Outside","Bottle","Plea","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in safe high quality bonds or bond mutual funds","Not at all comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","13"
"5213f3a7-734e-4c3f-afe9-25a2195c880d","25","Willing to take risks after completing adequate research","A sure loss of $500","A mutual fund that owns stocks and bonds","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","Three month's salary","Male","Under 25","Never married","Some college/trade/vocational training","$100,000 or greater","No","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Run","Drag","Outside","Knife","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Deposit it in a bank account, money market account, or an insured CD","Not at all comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","16"
"558747e4-0198-4c3c-bfa4-300c2b617a34","26","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A savings account or money market mutual fund","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Male","Under 25","Never married","Some college/trade/vocational training","Less than $25,000","No","A 25% chance at winning $10,000","Speed up","Car","Sprint away as fast as you can","Run","Drag","Sneak","Knife","Fight","Swing","Take a much more modest vacation","Deposit it in a bank account, money market account, or an insured CD","Not at all comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","15"
"5b394bd5-fdde-49a9-a1d7-0a209f079971","23","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A savings account or money market mutual fund","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Male","Under 25","Never married","Some college/trade/vocational training","$100,000 or greater","No","$1,000 in cash","Confront him","Car","Slowly walk away (maybe you’ll lose him)","Quiet","Cut","Sneak","Knife","Fight","Swing","Take a much more modest vacation","Invest it in safe high quality bonds or bond mutual funds","Not at all comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A sure gain of $500","15"
"5d3d541b-89aa-4d85-95fa-8d78f78c5c71","33","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","10% in low-risk investments 40% in medium-risk investments 50% in high-risk investments","Three month's salary","Male","Under 25","Never married","High school graduate","$100,000 or greater","Yes","A 50% chance at winning $5,000","Confront him","Car","Slowly walk away (maybe you’ll lose him)","Quiet","Drag","Sneak","Knife","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Very comfortable","Opportunity","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A sure gain of $500","15"
"5e061114-1461-4dd0-84c9-b9fb3d5a50d3","30","Willing to take risks after completing adequate research","A sure loss of $500","A mutual fund that owns stocks and bonds","10% in low-risk investments 40% in medium-risk investments 50% in high-risk investments","Three month's salary","Male","35-44","Married","Bachelors degree","$100,000 or greater","No","A 25% chance at winning $10,000","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Bottle","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Somewhat comfortable","Loss","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A sure gain of $500","14"
"606032d5-8af1-400f-baa8-bd215fda45c3","38","Willing to take risks after completing adequate research","A sure loss of $500","A single startup venture","10% in low-risk investments 40% in medium-risk investments 50% in high-risk investments","Three month's salary","Male","25-34","Never married","Graduate or professional degree","$75,000-$99,999","Yes","A 5% chance at winning $100,000","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Sneak","Bottle","Fight","Throw","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in safe high quality bonds or bond mutual funds","Very comfortable","Opportunity","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$4,800 gain best case; $2,400 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","13"
"61e9bd56-203a-4533-a0ae-d24c90690450","26","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Female","55-64","Married","Graduate or professional degree","$100,000 or greater","No","A 50% chance at winning $5,000","Speed up","Car","Sprint away as fast as you can","Run","Drag","Outside","Bottle","Plea","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in safe high quality bonds or bond mutual funds","Somewhat comfortable","Uncertainty","Hold the bonds","$2,600 gain best case; $800 loss worst case","A sure gain of $500","14"
"6ea1569e-896c-4453-9acd-7c3be8f0d9ec","34","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A portfolio of 15 common stocks","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","Three month's salary","Male","Under 25","Never married","Bachelors degree","Less than $25,000","Yes","A 50% chance at winning $5,000","Speed up","Car","Slowly walk away (maybe you’ll lose him)","Quiet","Drag","Sneak","Bottle","Fight","Throw","Take a much more modest vacation","Invest it in stocks or stock mutual funds","Somewhat comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$4,800 gain best case; $2,400 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","14"
"758b1041-421c-484f-a76e-bac5f37fb0e4","25","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A single startup venture","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Male","Under 25","Never married","Bachelors degree","$75,000-$99,999","Yes","$1,000 in cash","Speed up","Car","Slowly walk away (maybe you’ll lose him)","Quiet","Drag","Outside","Knife","Plea","Swing","Take a much more modest vacation","Invest it in safe high quality bonds or bond mutual funds","Not at all comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A sure gain of $500","16"
"7af35385-9a4b-4ebf-88bc-2cb66b05aeb7","22","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A savings account or money market mutual fund","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","Nothing","Male","35-44","Married","Graduate or professional degree","$100,000 or greater","Yes","A 50% chance at winning $5,000","Speed up","Car","Sprint away as fast as you can","Run","Drag","Sneak","Bottle","Plea","Throw","Cancel the vacation","Deposit it in a bank account, money market account, or an insured CD","Not at all comfortable","Uncertainty","Hold the bonds","$2,600 gain best case; $800 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","13"
"7c5acfd8-afd0-4d0b-a4cd-c613b547ed30","34","Cautious","A sure loss of $500","A portfolio of 15 common stocks","10% in low-risk investments 40% in medium-risk investments 50% in high-risk investments","Three month's salary","Male","25-34","Never married","Bachelors degree","$100,000 or greater","No","A 5% chance at winning $100,000","Confront him","Car","Sprint away as fast as you can","Quiet","Drag","Sneak","Knife","Fight","Throw","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in stocks or stock mutual funds","Very comfortable","Uncertainty","Sell the bonds and put the total proceeds into real estate","$2,600 gain best case; $800 loss worst case","A sure gain of $500","12"
"819dbf07-5e24-42c4-8fe5-35ce2bc7d277","25","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A portfolio of 15 common stocks","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","Under 25","Never married","Some college/trade/vocational training","$100,000 or greater","No","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Sneak","Bottle","Fight","Swing","Go as scheduled, reasoning that you need the time to prepare for a job search","Deposit it in a bank account, money market account, or an insured CD","Not at all comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A sure gain of $500","13"
"85092105-b279-42a2-bb66-71ea901f5407","27","Cautious","A sure loss of $500","A mutual fund that owns stocks and bonds","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","One month's salary","Male","Under 25","Never married","Bachelors degree","$100,000 or greater","No","A 50% chance at winning $5,000","Confront him","Car","Slowly walk away (maybe you’ll lose him)","Quiet","Drag","Sneak","Bottle","Fight","Swing","Cancel the vacation","Invest it in stocks or stock mutual funds","Very comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","13"
"8b927863-975c-479c-8234-57d80eea4d69","23","A real risk avoider","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A mutual fund that owns stocks and bonds","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","Nothing","Male","25-34","Married","Some college/trade/vocational training","$100,000 or greater","No","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Bottle","Fight","Swing","Take a much more modest vacation","Invest it in safe high quality bonds or bond mutual funds","Somewhat comfortable","Uncertainty","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$800 gain best case; $200 loss worst case","A sure gain of $500","14"
"8fb436a6-884c-4465-8f2e-c16d3547a665","19","Willing to take risks after completing adequate research","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A savings account or money market mutual fund","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","Nothing","Female","25-34","Married","Bachelors degree","$100,000 or greater","No","$1,000 in cash","Speed up","Car","Sprint away as fast as you can","Run","Drag","Outside","Bottle","Plea","Swing","Take a much more modest vacation","Deposit it in a bank account, money market account, or an insured CD","Not at all comfortable","Uncertainty","Hold the bonds","$200 gain best case; $0 gain/loss worst case","A sure gain of $500","14"
"939f17c0-0a33-4b57-bddd-63ebc03978ba","24","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A savings account or money market mutual fund","60% in low-risk investments 30% in medium-risk investments 10% in high-risk investments","Three month's salary","Male","Under 25","Shared living arrangement","Some college/trade/vocational training","$25,000-$49,999","No","A 50% chance at winning $5,000","Confront him","Car","Sprint away as fast as you can","Quiet","Drag","Sneak","Knife","Fight","Swing","Cancel the vacation","Invest it in stocks or stock mutual funds","Not at all comfortable","Uncertainty","Hold the bonds","$2,600 gain best case; $800 loss worst case","A sure gain of $500","13"
"94f3d5b6-72f0-422e-8509-bb73711b51af","28","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A savings account or money market mutual fund","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","35-44","Married","Graduate or professional degree","$100,000 or greater","No","A 5% chance at winning $100,000","Speed up","Car","Slowly walk away (maybe you’ll lose him)","Quiet","Drag","Outside","Bottle","Fight","Throw","Go as scheduled, reasoning that you need the time to prepare for a job search","Invest it in safe high quality bonds or bond mutual funds","Somewhat comfortable","Loss","Sell the bonds, put half the proceeds into money market accounts, and the other half into real estate","$2,600 gain best case; $800 loss worst case","A sure gain of $500","14"
"9728163c-febb-424d-be61-8a81289a2226","25","Cautious","A 50% chance to lose $1,000 and a 50% chance to lose nothing","A savings account or money market mutual fund","30% in low-risk investments 40% in medium-risk investments 30% in high-risk investments","One month's salary","Male","35-44","Married","Bachelors degree","$100,000 or greater","No","A 25% chance at winning $10,000","Confront him","Car","Sprint away as fast as you can","Quiet","Drag","Outside","Bottle","Fight","Throw","Cancel the vacation","Invest it in safe high quality bonds or bond mutual funds","Not at all comfortable","Uncertainty","Hold the bonds","$800 gain best case; $200 loss worst case","A 50% chance to gain $1,000 and a 50% chance to gain nothing","12"
